,activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,simplified_applicant_age_above_62,state_simplified,loant_type,debt_to_income_ratio2
1690,2021,FT6J43S06X6CLJ0R0B48,11244.0,CA,6059.0,6059052421.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,Loan Originated,Not applicable,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,755000.0,51.576,4.5,2.284,Not applicable,3363.95,,880.0,,,1.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,1465000.0,Site-built,Second residence,3.0,5.0,1.0,,397.0,20%-<30%,Not Applicable,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Chinese,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,50.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,5397,48.27,106700,157,1464.0,1678.0,38,0.0,0,Conventional,0.25
509,2021,549300TF1E42EUFBSL45,41500.0,CA,6053.0,6053012200.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Cash-out refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,865000.0,60.625,3.0,-0.265,Not a high-cost mortgage,3214.25,,850.0,,,360.0,,120.0,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,1425000.0,Site-built,Principal residence,3.0,5.0,1.0,,153.0,42,Equifax Beacon 5.0,Not Applicable,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,White,,,,,White,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,50.0,50.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,2620,12.63,80900,154,570.0,1274.0,76,0.0,0,Conventional,0.42
2358,2021,D38AC76TAMYI50NBPX33,38060.0,AZ,4013.0,4013113601.0,,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,Loan Originated,Not applicable,Preapproval not requested,1,Cash-out refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,1005000.0,49.628,3.36,,Not applicable,,,,,,120.0,,60.0,No negative amortization,No interest-only payments,Balloon payment,No other non-fully amortizing features,2015000.0,Site-built,Investment Property,3.0,5.0,5.24,0.0,,,Not Applicable,No co-applicant,Not Applicable,,,,,Other Hispanic or Latino,,,,,Not applicable,No co-applicant,Not Applicable,,,,,No co-applicant,,,,,Not applicable,No co-applicant,Not applicable,No co-applicant,Not applicable,No co-applicant,,,,1.0,1.0,6.0,,,,,Not applicable,,,,4344,81.28,79000,51,220.0,746.0,19,,1,Conventional,
250,2021,549300EKCY4J7PC8WH77,36084.0,CA,6001.0,6001427200.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,Loan Originated,Other Type of purchaser,Preapproval not requested,1,Cash-out refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,375000.0,37.5,10.0,,Not applicable,,,,,,12.0,,,No negative amortization,Interest-only payment,Balloon payment,No other non-fully amortizing features,1005000.0,Site-built,Investment Property,3.0,5.0,1.0,,,,Not Applicable,No co-applicant,Not Applicable,,,,,Other Hispanic or Latino,,,,,Not applicable,No co-applicant,Not Applicable,,,,,No co-applicant,,,,,Not applicable,No co-applicant,Not applicable,No co-applicant,Not applicable,No co-applicant,,,,1.0,2.0,6.0,,,,,Not applicable,,,,4157,57.61,125600,75,671.0,1415.0,76,,0,Conventional,
4054,2021,RVDPPPGHCGZ40J4VQ731,31084.0,CA,6037.0,6037701201.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,Loan Originated,Fannie Mae,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,465000.0,46.37,2.375,-0.413,Not a high-cost mortgage,8563.38,,7485.68,6311.68,11046.15,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,995000.0,Site-built,Principal residence,3.0,5.0,1.0,,180.0,20%-<30%,FICO Risk Score Classic 04,Not Applicable,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Asian,Chinese,,,,Asian,Chinese,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Female,Male,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,78.0,78.0,Yes,1.0,1.0,1.0,,,,,Not applicable,,,,4010,15.84,80000,314,1315.0,1682.0,76,1.0,0,Conventional,0.25
4307,2021,RVDPPPGHCGZ40J4VQ731,31084.0,CA,6037.0,6037102107.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,Loan Originated,Freddie Mac,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,685000.0,52.69,2.25,-0.131,Not a high-cost mortgage,2781.7,,1174.0,,3174.2,180.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,1305000.0,Site-built,Principal residence,3.0,5.0,1.0,,604.0,<20%,FICO Risk Score Classic 04,Not Applicable,11.0,Hispanic or Latino,,,,11.0,Hispanic or Latino,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,White,,,,,White,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,50.0,50.0,No,1.0,1.0,1.0,,,,,Not applicable,,,,3932,44.96,80000,97,905.0,1206.0,55,0.0,0,Conventional,0.1
2051,2021,D38AC76TAMYI50NBPX33,46060.0,AZ,4019.0,4019004639.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,235000.0,73.84,3.625,1.081,Not a high-cost mortgage,8164.5,,4805.5,,,372.0,,,No negative amortization,Interest-only payment,No balloon payment,No other non-fully amortizing features,315000.0,Site-built,Principal residence,3.0,5.0,1.0,,55.0,40,Equifax Beacon 5.0,Experian Fair Isaac,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not applicable,Not applicable,White,,,,,White,,,,,Not applicable,Not applicable,Male,Female,Not applicable,Not applicable,78.0,78.0,Yes,1.0,1.0,6.0,,,,,Not applicable,,,,4143,32.8,68600,157,927.0,1356.0,11,1.0,1,Conventional,0.4
4070,2021,RVDPPPGHCGZ40J4VQ731,36084.0,CA,6013.0,6013355108.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,Loan Originated,Fannie Mae,Preapproval not requested,1,Cash-out refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,365000.0,45.0,2.999,0.164,Not a high-cost mortgage,4728.0,,3344.8,2170.8,,348.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,805000.0,Site-built,Principal residence,3.0,5.0,1.0,,99.0,37,Experian Fair Isaac,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Black or African American,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,60.0,,,1.0,1.0,1.0,,,,,Not applicable,,,,13467,78.08,125600,97,2808.0,3739.0,16,0.0,0,Conventional,0.37
3713,2021,RVDPPPGHCGZ40J4VQ731,11244.0,CA,6059.0,6059042307.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan Originated,Freddie Mac,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,725000.0,80.0,2.625,-0.028,Not a high-cost mortgage,6200.9,,1956.4,1882.4,,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,905000.0,Site-built,Principal residence,3.0,5.0,1.0,,140.0,30%-<36%,FICO Risk Score Classic 04,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,White,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Male,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,30.0,,,2.0,1.0,1.0,,,,,Not applicable,,,,7173,39.4,106700,125,1444.0,1778.0,41,0.0,0,Conventional,0.32
1393,2021,FT6J43S06X6CLJ0R0B48,31084.0,CA,6037.0,6037480202.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,Loan Originated,Not applicable,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Open-end line of credit,Not primarily for a business or commercial purpose,585000.0,58.586,3.75,1.39,Not a high-cost mortgage,,,,,,1.0,,1.0,No negative amortization,Interest-only payment,No balloon payment,No other non-fully amortizing features,995000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,Equifax Beacon 5.0,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Chinese,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,50.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,2640,75.15,80000,171,779.0,929.0,74,0.0,0,Conventional,
4634,2021,RVDPPPGHCGZ40J4VQ731,38060.0,AZ,4013.0,4013061033.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan Originated,Ginnie Mae,Preapproval not requested,3,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,235000.0,100.04,2.25,-0.497,Not a high-cost mortgage,3882.86,,2358.36,,2256.15,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,235000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,FICO Risk Score Classic 04,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,White,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Male,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,30.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,6668,28.36,79000,110,1252.0,2267.0,11,0.0,1,Veterans Affiars guaranteed VA,
326,2021,549300EKCY4J7PC8WH77,41940.0,CA,6085.0,6085507703.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,Loan Originated,Other Type of purchaser,Preapproval not requested,1,Cash-out refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,1245000.0,50.0,8.0,,Not applicable,,,,,,12.0,,,No negative amortization,Interest-only payment,Balloon payment,No other non-fully amortizing features,2505000.0,Site-built,Investment Property,3.0,5.0,1.0,,,,Not Applicable,No co-applicant,Not Applicable,,,,,Other Hispanic or Latino,,,,,Not applicable,No co-applicant,Not Applicable,,,,,No co-applicant,,,,,Not applicable,No co-applicant,Not applicable,No co-applicant,Not applicable,No co-applicant,,,,1.0,2.0,6.0,,,,,Not applicable,,,,7944,59.79,148700,152,1690.0,2626.0,42,,0,Conventional,
4115,2021,RVDPPPGHCGZ40J4VQ731,44700.0,CA,6077.0,6077005127.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,Application denied,Not applicable,Preapproval not requested,2,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,335000.0,93.65,,,Not applicable,,,,,,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,355000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,Not Applicable,FICO Risk Score Classic 04,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Asian,Filipino,,,,Asian,Filipino,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Female,Male,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,40.0,40.0,No,1.0,1.0,6.0,,,,,Credit history,,,,5839,83.29999999999998,74000,122,1025.0,1479.0,15,0.0,0,Federal Housing Administration FHA,
2927,2021,RVDPPPGHCGZ40J4VQ731,40140.0,CA,6065.0,6065044917.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan Originated,Freddie Mac,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,305000.0,40.0,2.999,0.483,Not a high-cost mortgage,7448.5,,5924.0,,7086.9,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,755000.0,Site-built,Principal residence,3.0,5.0,1.0,,127.0,43,FICO Risk Score Classic 04,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,White,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,78.0,,,2.0,1.0,2.0,,,,,Not applicable,,,,4405,8.92,77500,163,2298.0,3395.0,34,1.0,0,Conventional,0.43
2726,2021,D38AC76TAMYI50NBPX33,38060.0,AZ,4013.0,4013610700.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Male,Loan Originated,Not applicable,Preapproval not requested,1,Home improvement,Secured by a subordinate lien,Not a reverse mortgage,Open-end line of credit,Not primarily for a business or commercial purpose,105000.0,79.51,4.25,,Not a high-cost mortgage,,,,,,300.0,,,No negative amortization,Interest-only payment,No balloon payment,No other non-fully amortizing features,805000.0,Site-built,Principal residence,3.0,5.0,1.0,,139.0,39,Equifax Beacon 5.0,No co-applicant,Info not provided by applicant in mail internet or telephone appplication,,,,,Other Hispanic or Latino,,,,,Not applicable,No co-applicant,White,,,,,No co-applicant,,,,,Not applicable,No co-applicant,Male,No co-applicant,Not applicable,No co-applicant,50.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,7970,14.5,79000,135,2427.0,3098.0,14,0.0,1,Conventional,0.39
3238,2021,RVDPPPGHCGZ40J4VQ731,41740.0,CA,6073.0,6073010005.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,Application denied,Not applicable,Preapproval not requested,1,Cash-out refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,375000.0,68.18,,,Not applicable,,,,,,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,555000.0,Site-built,Investment Property,3.0,5.0,1.0,,163.0,45,Not Applicable,Equifax Beacon 5.0,Hispanic or Latino,,,,,Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,White,,,,,White,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,40.0,40.0,No,2.0,1.0,1.0,,,,,Debt-to-income ratio,Credit history,,,8129,97.22,95100,43,734.0,1249.0,39,0.0,0,Conventional,0.45
4902,2021,RVDPPPGHCGZ40J4VQ731,47300.0,CA,6107.0,6107001003.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,Loan Originated,Ginnie Mae,Preapproval not requested,2,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,325000.0,95.91,2.625,0.732,Not a high-cost mortgage,6575.02,,100.0,,270.51,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,335000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,Not Applicable,FICO Risk Score Classic 04,Hispanic or Latino,11.0,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,White,,,,,White,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,40.0,40.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,22157,60.05,57900,187,4532.0,6458.0,12,0.0,0,Federal Housing Administration FHA,
4776,2021,RVDPPPGHCGZ40J4VQ731,39150.0,AZ,4025.0,4025000300.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,Loan Originated,Ginnie Mae,Preapproval not requested,2,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,325000.0,86.53,2.625,0.416,Not a high-cost mortgage,6778.07,,100.0,,1646.86,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,365000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,FICO Risk Score Classic 04,Not Applicable,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,White,,,,,White,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,40.0,30.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,6005,19.45,63800,101,1555.0,2037.0,20,0.0,1,Federal Housing Administration FHA,
2055,2021,D38AC76TAMYI50NBPX33,46060.0,AZ,4019.0,4019004107.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,Race Not Available,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,255000.0,70.03,3.625,1.08,Not a high-cost mortgage,7224.1,,4886.1,,0.7,372.0,,,No negative amortization,Interest-only payment,No balloon payment,No other non-fully amortizing features,355000.0,Site-built,Principal residence,3.0,5.0,1.0,,96.0,20%-<30%,FICO Risk Score Classic 04,Experian Fair Isaac,Hispanic or Latino,11.0,,,,Not Hispanic or Latino,,,,,Not applicable,Not applicable,Info not provided by applicant in mail internet or telephone appplication,,,,,White,,,,,Not applicable,Not applicable,Male,Female,Not applicable,Not applicable,40.0,50.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,10247,37.38,68600,149,2880.0,3630.0,12,0.0,1,Conventional,0.25
514,2021,549300TF1E42EUFBSL45,41500.0,CA,6053.0,6053011602.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,1265000.0,75.0,3.0,0.111,Not a high-cost mortgage,6965.75,,850.0,,450.0,360.0,,60.0,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,1695000.0,Site-built,Principal residence,3.0,5.0,1.0,,225.0,40,Experian Fair Isaac,Not Applicable,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,White,,,,,White,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,70.0,50.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,5936,10.85,80900,201,1749.0,2381.0,42,1.0,0,Conventional,0.4
2036,2021,FT6J43S06X6CLJ0R0B48,41740.0,CA,6073.0,6073013311.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,625000.0,65.0,4.25,,Not applicable,,,,,,2.0,,36.0,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,965000.0,Site-built,Investment Property,3.0,5.0,1.0,,468.0,46,Not Applicable,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Chinese,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Male,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,50.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,10643,75.39,95100,145,2281.0,2845.0,18,0.0,0,Conventional,0.46
3856,2021,RVDPPPGHCGZ40J4VQ731,47300.0,CA,6107.0,6107003002.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Female,Application denied,Not applicable,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,155000.0,91.77,,,Not applicable,,,,,,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,175000.0,Site-built,Principal residence,3.0,5.0,1.0,,24.0,49,Experian Fair Isaac,No co-applicant,11.0,Hispanic or Latino,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Info not provided by applicant in mail internet or telephone appplication,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,25.0,,,1.0,1.0,1.0,,,,,Insufficient cash downpayment closing costs,,,,3504,80.25,57900,90,502.0,978.0,25,0.0,0,Conventional,0.49
26,2021,54930034MNPILHP25H80,38060.0,AZ,4013.0,4013093001.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,Loan Originated,Ginnie Mae,Preapproval not requested,3,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,195000.0,100.0,4.0,1.307,Not a high-cost mortgage,6719.4,,199.15,199.15,,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,185000.0,Site-built,Principal residence,3.0,5.0,1.0,,39.0,39,Equifax Beacon 5.0,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Asian,White,Other Asian,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Male,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,30.0,,,1.0,1.0,1.0,,,,,Not applicable,,,,5264,77.39,79000,42,650.0,1349.0,43,0.0,1,Veterans Affiars guaranteed VA,0.39
4226,2021,RVDPPPGHCGZ40J4VQ731,11244.0,CA,6059.0,6059021820.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,Loan Originated,Fannie Mae,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,305000.0,40.31,1.999,-0.003,Not a high-cost mortgage,9255.99,,8178.29,7004.29,,180.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,755000.0,Site-built,Principal residence,3.0,5.0,1.0,,110.0,20%-<30%,FICO Risk Score Classic 04,No co-applicant,14.0,Hispanic or Latino,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,White,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,50.0,,,1.0,1.0,1.0,,,,,Not applicable,,,,4553,49.15,106700,143,1212.0,1324.0,27,0.0,0,Conventional,0.25
585,2021,549300TF1E42EUFBSL45,41740.0,CA,6073.0,6073007301.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,Application denied,Not applicable,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,345000.0,33.01,,,Not applicable,,,,,,180.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,1035000.0,Site-built,Investment Property,3.0,5.0,1.0,,193.0,48,FICO Risk Score Classic 04,Not Applicable,Info not provided by applicant in mail internet or telephone appplication,,,,,Info not provided by applicant in mail internet or telephone appplication,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Info not provided by applicant in mail internet or telephone appplication,,,,,Info not provided by applicant in mail internet or telephone appplication,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Female,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,50.0,78.0,Yes,1.0,3.0,1.0,,,,,Debt-to-income ratio,,,,4514,13.09,95100,120,481.0,1747.0,53,0.0,0,Conventional,0.48
